`;GTDEM10Y Govt;GTITL10Y Govt;GTGBP10Y Govt;GT10 @BGN Govt;GTJPY10Y Govt;GTCAD10Y Govt;GTAUD10Y Govt;GTCHF10Y Govt;GTSEK10Y Govt
05.01.2023;2,312;4,324;3,549;3,72;0,422;3,176;3,8363;1,393;2,193
06.01.2023;2,207;4,212;3,469;3,56;0,499;3,089;3,8188;1,265;2,193
09.01.2023;2,226;4,179;3,523;3,536;0,499;3,083;3,7225;1,278;2,123
10.01.2023;2,304;4,212;3,555;3,622;0,502;3,112;3,7175;1,339;2,077
11.01.2023;2,2;4,025;3,407;3,542;0,499;3,01;3,7175;1,221;1,933
12.01.2023;2,153;3,99;3,331;3,445;0,504;2,893;3,5963;1,128;1,895
13.01.2023;2,165;4,001;3,364;3,505;0,504;2,895;3,5913;1,085;1,903
16.01.2023;2,171;4,009;3,382;3,505;0,509;2,86;3,5938;1,084;1,938
17.01.2023;2,087;3,886;3,322;3,551;0,508;2,853;3,6038;1,038;1,877
18.01.2023;2,016;3,753;3,311;3,373;0,432;2,722;3,5463;1,014;1,863
19.01.2023;2,058;3,769;3,272;3,393;0,421;2,746;3,3225;1,054;1,902
20.01.2023;2,172;3,984;3,374;3,481;0,377;2,839;3,3975;1,155;2,009
23.01.2023;2,202;4,02;3,358;3,515;0,382;2,88;3,45;1,195;2,045
24.01.2023;2,149;3,909;3,273;3,455;0,41;2,852;3,4638;1,168;2,032
25.01.2023;2,151;3,942;3,24;3,444;0,437;2,798;3,5038;1,161;1,981
26.01.2023;2,209;4,027;3,315;3,501;0,478;2,86;3,5038;1,183;1,975
27.01.2023;2,237;4,089;3,321;3,505;0,483;2,887;3,5588;1,209;2,078
30.01.2023;2,315;4,191;3,334;3,539;0,476;2,911;3,5338;1,257;2,088
31.01.2023;2,283;4,148;3,33;3,511;0,488;2,914;3,5513;1,247;2,057
01.02.2023;2,282;4,291;3,304;3,42;0,486;2,857;3,5688;1,23;2,037
02.02.2023;2,073;3,897;3,003;3,395;0,492;2,825;3,5413;1,066;1,85
03.02.2023;2,189;4,021;3,052;3,526;0,486;2,927;3,3838;1,184;1,938
06.02.2023;2,292;4,154;3,241;3,643;0,495;3,05;3,4613;1,281;2,005
07.02.2023;2,344;4,226;3,315;3,676;0,492;3,085;3,5963;1,33;2,006
08.02.2023;2,36;4,227;3,311;3,614;0,49;3,014;3,6138;1,367;2,036
09.02.2023;2,298;4,115;3,289;3,661;0,493;3,051;3,6688;1,303;2,237
10.02.2023;2,362;4,206;3,394;3,739;0,496;3,151;3,7063;1,376;2,38
13.02.2023;2,367;4,169;3,4;3,703;0,5;3,106;3,7588;1,378;2,38
14.02.2023;2,434;4,22;3,518;3,746;0,5;3,181;3,7388;1,419;2,382
15.02.2023;2,472;4,328;3,484;3,808;0,501;3,26;3,7388;1,424;2,416
16.02.2023;2,475;4,33;3,497;3,864;0,499;3,288;3,7588;1,423;2,393
17.02.2023;2,438;4,294;3,511;3,82;0,501;3,288;3,8188;1,404;2,395
20.02.2023;2,459;4,33;3,469;3,82;0,5;3,288;3,8088;1,399;2,523
21.02.2023;2,527;4,462;3,612;3,955;0,501;3,432;3,8138;1,448;2,672
22.02.2023;2,518;4,457;3,598;3,919;0,5;3,37;3,8738;1,431;2,612
23.02.2023;2,475;4,378;3,585;3,881;0,5;3,333;3,8838;1,401;2,555
24.02.2023;2,535;4,434;3,657;3,947;0,5;3,386;3,8238;1,416;2,645
27.02.2023;2,578;4,413;3,802;3,916;0,5;3,383;3,8738;1,436;2,67
28.02.2023;2,648;4,47;3,824;3,923;0,5;3,327;3,8513;1,431;2,657
01.03.2023;2,707;4,561;3,835;3,995;0,501;3,406;3,7863;1,473;2,677
02.03.2023;2,746;4,608;3,878;4,059;0,5;3,472;3,86;1,52;2,66
03.03.2023;2,711;4,524;3,847;3,955;0,5;3,342;3,9013;1,511;2,622
06.03.2023;2,744;4,569;3,864;3,961;0,5;3,351;3,765;1,532;2,602
07.03.2023;2,688;4,522;3,82;3,967;0,5;3,316;3,6838;1,509;2,592
08.03.2023;2,644;4,422;3,763;3,994;0,5;3,26;3,7425;1,407;2,513
09.03.2023;2,638;4,384;3,793;3,906;0,5;3,155;3,7075;1,406;2,5
10.03.2023;2,504;4,313;3,637;3,701;0,399;2,99;3,5813;1,339;2,37
13.03.2023;2,253;4,177;3,365;3,575;0,318;2,768;3,52;1,136;2,13
14.03.2023;2,414;4,26;3,483;3,693;0,217;2,894;3,4513;1,233;2,27
15.03.2023;2,124;4,105;3,317;3,458;0,323;2,784;3,435;1,023;2,194
16.03.2023;2,285;4,181;3,422;3,581;0,268;2,913;3,3338;1,043;2,262
17.03.2023;2,102;4,049;3,28;3,432;0,284;2,777;3,3938;0,94;2,147
20.03.2023;2,12;3,984;3,305;3,488;0,245;2,815;3,2413;0,947;2,131
21.03.2023;2,288;4,112;3,364;3,612;0,245;2,888;3,1913;1,102;2,203
22.03.2023;2,325;4,166;3,447;3,437;0,323;2,727;3,3663;1,177;2,261
23.03.2023;2,192;4,061;3,357;3,429;0,299;2,746;3,2913;1,113;2,176
24.03.2023;2,124;4,005;3,278;3,378;0,28;2,745;3,2163;1,092;2,096
27.03.2023;2,224;4,059;3,363;3,533;0,289;2,893;3,1938;1,12;2,159
28.03.2023;2,285;4,134;3,453;3,571;0,313;2,944;3,2988;1,191;2,205
29.03.2023;2,325;4,145;3,469;3,567;0,299;2,936;3,2838;1,205;2,199
30.03.2023;2,369;4,229;3,515;3,552;0,313;2,933;3,3575;1,223;2,25
31.03.2023;2,289;4,091;3,486;3,47;0,328;2,896;3,2975;1,195;2,226
03.04.2023;2,251;4,095;3,426;3,415;0,37;2,847;3,3225;1,189;2,208
04.04.2023;2,246;4,109;3,431;3,341;0,404;2,767;3,26;1,235;2,252
05.04.2023;2,179;4,009;3,424;3,313;0,468;2,79;3,2775;1,129;2,194
06.04.2023;2,181;4,027;3,428;3,308;0,461;2,788;3,185;1,09;2,194
07.04.2023;2,181;4,027;3,428;3,395;0,457;2,788;3,185;1,09;2,194
10.04.2023;2,181;4,027;3,428;3,42;0,461;2,894;3,185;1,09;2,194
11.04.2023;2,307;4,167;3,539;3,428;0,452;2,909;3,2238;1,198;2,293
12.04.2023;2,366;4,207;3,567;3,393;0,462;2,879;3,2438;1,018;2,339
13.04.2023;2,369;4,217;3,569;3,448;0,455;2,966;3,2737;1,037;2,324
14.04.2023;2,436;4,292;3,662;3,516;0,459;3,034;3,3213;1,115;2,366
17.04.2023;2,47;4,3;3,688;3,602;0,479;3,097;3,3688;1,119;2,443
18.04.2023;2,474;4,295;3,743;3,578;0,469;3,059;3,4725;1,093;2,459
19.04.2023;2,513;4,357;3,853;3,593;0,476;3,06;3,5125;1,109;2,5
20.04.2023;2,443;4,309;3,764;3,535;0,465;2,972;3,4938;1,056;2,464
21.04.2023;2,479;4,348;3,755;3,574;0,466;2,935;3,4588;1,09;2,482
24.04.2023;2,506;4,376;3,777;3,493;0,465;2,906;3,4463;1,093;2,482
25.04.2023;2,381;4,269;3,691;3,402;0,472;2,803;3,4463;1,024;2,396
26.04.2023;2,394;4,267;3,726;3,45;0,458;2,858;3,3038;1,03;2,348
27.04.2023;2,457;4,347;3,79;3,523;0,459;2,952;3,3688;1,094;2,379
28.04.2023;2,31;4,171;3,715;3,425;0,385;2,839;3,3363;1,009;2,308
01.05.2023;2,31;4,171;3,715;3,57;0,4;2,97;3,3513;1,009;2,308
02.05.2023;2,256;4,169;3,666;3,427;0,414;2,821;3,4438;0,96;2,323
03.05.2023;2,246;4,113;3,692;3,34;0,414;2,764;3,4088;1,038;2,291
04.05.2023;2,188;4,117;3,649;3,381;0,414;2,794;3,3038;0,99;2,272
05.05.2023;2,289;4,188;3,777;3,44;0,414;2,908;3,3188;1,053;2,29
08.05.2023;2,317;4,237;3,777;3,51;0,413;2,977;3,3988;1,067;2,319
09.05.2023;2,347;4,271;3,851;3,521;0,419;2,947;3,4475;1,062;2,315
10.05.2023;2,286;4,198;3,796;3,444;0,414;2,9;3,4525;1,004;2,299
11.05.2023;2,223;4,11;3,706;3,387;0,392;2,829;3,3888;0,912;2,203
12.05.2023;2,274;4,178;3,775;3,466;0,384;2,877;3,3238;0,934;2,211
15.05.2023;2,306;4,182;3,814;3,505;0,401;2,946;3,4263;0,959;2,22
16.05.2023;2,351;4,217;3,812;3,538;0,392;3,049;3,4075;0,964;2,245
17.05.2023;2,334;4,18;3,834;3,567;0,364;3,103;3,4275;0,924;2,225
18.05.2023;2,444;4,308;3,954;3,649;0,377;3,172;3,4863;0,924;2,225
19.05.2023;2,425;4,261;3,992;3,675;0,392;3,126;3,5925;0,991;2,341
22.05.2023;2,457;4,308;4,06;3,718;0,387;3,126;3,5875;0,99;2,321
23.05.2023;2,466;4,317;4,155;3,695;0,396;3,212;3,6525;1,006;2,35
24.05.2023;2,47;4,334;4,209;3,745;0,407;3,272;3,6475;1,012;2,312
25.05.2023;2,521;4,394;4,369;3,82;0,421;3,305;3,7013;1,035;2,371
26.05.2023;2,537;4,384;4,33;3,8;0,414;3,331;3,73;1,034;2,432
29.05.2023;2,432;4,276;4,33;3,8;0,434;3,328;3,7;1,034;2,379
30.05.2023;2,339;4,146;4,243;3,688;0,428;3,254;3,68;0,913;2,312
31.05.2023;2,28;4,077;4,179;3,646;0,43;3,185;3,605;0,835;2,27
01.06.2023;2,246;4,084;4,112;3,598;0,418;3,156;3,615;0,823;2,261
02.06.2023;2,311;4,064;4,152;3,695;0,408;3,23;3,6425;0,811;2,3
05.06.2023;2,377;4,132;4,203;3,685;0,427;3,26;3,7825;0,88;2,35
06.06.2023;2,37;4,138;4,204;3,662;0,42;3,276;3,8031;0,871;2,351
07.06.2023;2,453;4,278;4,248;3,798;0,421;3,439;3,8273;0,929;2,4
08.06.2023;2,4;4,179;4,229;3,72;0,431;3,406;4,0104;0,946;2,4
09.06.2023;2,375;4,107;4,235;3,743;0,421;3,37;3,9482;0,912;2,371
12.06.2023;2,384;4,051;4,335;3,739;0,423;3,345;3,9482;0,918;2,325
13.06.2023;2,42;4,05;4,43;3,816;0,417;3,462;3,9307;0,937;2,341
14.06.2023;2,448;4,082;4,388;3,789;0,425;3,405;3,9745;0,978;2,416
15.06.2023;2,501;4,126;4,38;3,719;0,421;3,329;4,0013;1,009;2,449
16.06.2023;2,472;4,032;4,407;3,766;0,404;3,35;4,0261;0,991;2,481
19.06.2023;2,515;4,117;4,487;3,766;0,392;3,407;3,9722;1,022;2,497
20.06.2023;2,402;4,026;4,332;3,724;0,385;3,339;4,0252;0,931;2,456
21.06.2023;2,433;4,045;4,401;3,722;0,375;3,384;3,9822;0,941;2,507
22.06.2023;2,491;4,125;4,363;3,797;0,371;3,451;3,9765;0,985;2,595
23.06.2023;2,352;3,976;4,315;3,736;0,361;3,354;3,9885;0,901;2,576
26.06.2023;2,307;3,944;4,296;3,723;0,353;3,308;3,9503;0,849;2,486
27.06.2023;2,354;3,975;4,371;3,767;0,366;3,315;3,93;0,888;2,467
28.06.2023;2,312;3,974;4,311;3,71;0,382;3,22;3,8704;0,874;2,469
29.06.2023;2,414;4,094;4,375;3,841;0,383;3,359;3,9009;0,938;2,523
30.06.2023;2,39;4,068;4,383;3,84;0,394;3,267;4,0238;0,92;2,521
03.07.2023;2,435;4,131;4,436;3,857;0,398;3,267;3,9683;0,908;2,506
04.07.2023;2,451;4,194;4,411;3,857;0,378;3,311;4,0101;0,905;2,516
05.07.2023;2,475;4,164;4,491;3,934;0,387;3,413;4,0038;0,923;2,49
06.07.2023;2,624;4,373;4,657;4,032;0,407;3,484;4,1259;1,019;2,614
07.07.2023;2,634;4,349;4,646;4,068;0,421;3,57;4,2576;1,02;2,6
10.07.2023;2,636;4,381;4,635;3,997;0,456;3,513;4,2865;1,051;2,63
11.07.2023;2,646;4,413;4,659;3,972;0,452;3,534;4,1831;1,066;2,658
12.07.2023;2,566;4,257;4,51;3,86;0,467;3,419;4,1273;1,04;2,606
13.07.2023;2,477;4,135;4,417;3,766;0,467;3,348;4,0492;0,985;2,468
14.07.2023;2,509;4,168;4,44;3,834;0,474;3,366;3,9953;0,968;2,505
17.07.2023;2,476;4,15;4,428;3,81;0,474;3,397;3,9854;0,941;2,498
18.07.2023;2,382;4,01;4,329;3,788;0,475;3,376;3,9753;0,876;2,393
19.07.2023;2,434;4,076;4,208;3,75;0,461;3,354;3,8662;0,918;2,383
20.07.2023;2,483;4,105;4,27;3,853;0,46;3,495;3,9493;0,943;2,436
21.07.2023;2,465;4,067;4,271;3,839;0,441;3,411;4,0093;0,925;2,454
24.07.2023;2,419;4,021;4,249;3,874;0,454;3,495;3,9931;0,904;2,401
25.07.2023;2,422;4,056;4,261;3,887;0,46;3,513;4,028;0,928;2,432
26.07.2023;2,481;4,097;4,276;3,87;0,448;3,474;4,0091;0,958;2,466
27.07.2023;2,471;4,067;4,306;4,002;0,443;3,611;3,9243;0,951;2,437
28.07.2023;2,491;4,109;4,321;3,953;0,556;3,513;4,0682;0,974;2,485
31.07.2023;2,489;4,096;4,305;3,962;0,599;3,497;4,0591;0,975;2,505
01.08.2023;2,554;4,184;4,395;4,026;0,599;3,602;3,9737;0,975;2,529
02.08.2023;2,53;4,183;4,398;4,082;0,621;3,621;4,0241;0,971;2,539
03.08.2023;2,601;4,269;4,466;4,178;0,646;3,709;4,106;1,016;2,622
04.08.2023;2,559;4,208;4,376;4,037;0,642;3,544;4,1936;1;2,639
07.08.2023;2,598;4,256;4,458;4,093;0,625;3,544;4,1936;1,019;2,696
08.08.2023;2,465;4,121;4,381;4,026;0,603;3,5;4,0174;0,941;2,599
09.08.2023;2,495;4,144;4,364;4,013;0,579;3,52;3,9972;0,96;2,639
10.08.2023;2,526;4,142;4,361;4,108;0,579;3,591;4,0467;0,98;2,65
11.08.2023;2,622;4,249;4,524;4,155;0,579;3,642;4,1108;1,051;2,739
14.08.2023;2,635;4,276;4,563;4,193;0,607;3,689;4,1952;1,04;2,765
15.08.2023;2,671;4,351;4,586;4,215;0,627;3,747;4,2581;1,029;2,804
16.08.2023;2,647;4,348;4,643;4,252;0,624;3,771;4,2085;0,995;2,78
17.08.2023;2,707;4,41;4,743;4,278;0,641;3,766;4,322;1,059;2,84
18.08.2023;2,619;4,319;4,672;4,256;0,629;3,715;4,2329;1,006;2,806
21.08.2023;2,701;4,395;4,725;4,341;0,644;3,774;4,2637;1,045;2,892
22.08.2023;2,642;4,301;4,641;4,327;0,66;3,813;4,2697;1,01;2,883
23.08.2023;2,515;4,164;4,466;4,195;0,669;3,645;4,1938;0,954;2,778
24.08.2023;2,51;4,169;4,423;4,238;0,649;3,691;4,1153;0,961;2,753
25.08.2023;2,559;4,238;4,439;4,237;0,654;3,702;4,1605;0,97;2,801
28.08.2023;2,561;4,22;4,439;4,205;0,658;3,677;4,1395;0,946;2,822
29.08.2023;2,508;4,147;4,419;4,123;0,647;3,592;4,0987;0,92;2,784
30.08.2023;2,542;4,19;4,419;4,116;0,646;3,574;4,0707;0,947;2,773
31.08.2023;2,462;4,115;4,357;4,109;0,645;3,561;4,0259;0,899;2,716
01.09.2023;2,546;4,232;4,425;4,18;0,627;3,558;4,004;0,929;2,741
04.09.2023;2,577;4,286;4,46;4,18;0,639;3,558;4,0904;0,929;2,787
05.09.2023;2,61;4,337;4,522;4,263;0,653;3,692;4,135;0,945;2,806
06.09.2023;2,652;4,4;4,53;4,282;0,654;3,686;4,1288;0,987;2,837
07.09.2023;2,611;4,339;4,451;4,247;0,652;3,642;4,1586;0,995;2,847
08.09.2023;2,608;4,345;4,42;4,267;0,65;3,674;4,0829;1,005;2,834
11.09.2023;2,636;4,393;4,468;4,292;0,702;3,696;4,1589;1,041;2,841
12.09.2023;2,641;4,399;4,412;4,283;0,704;3,693;4,1663;1,056;2,85
13.09.2023;2,649;4,444;4,343;4,251;0,707;3,683;4,1474;1,04;2,858
14.09.2023;2,591;4,337;4,278;4,289;0,71;3,691;4,1139;1,002;2,793
15.09.2023;2,673;4,457;4,355;4,334;0,709;3,739;4,1039;1,047;2,835
18.09.2023;2,705;4,508;4,388;4,304;0,709;3,746;4,2119;1,072;2,87
19.09.2023;2,735;4,514;4,339;4,36;0,712;3,86;4,1678;1,079;2,887
20.09.2023;2,699;4,447;4,212;4,409;0,721;3,909;4,2154;1,053;2,861
21.09.2023;2,734;4,537;4,298;4,496;0,738;3,967;4,3005;1,04;2,907
22.09.2023;2,737;4,587;4,244;4,435;0,736;3,912;4,3386;1,033;2,913
25.09.2023;2,794;4,659;4,32;4,535;0,73;4,024;4,3129;1,054;2,948
26.09.2023;2,805;4,739;4,323;4,537;0,735;4,018;4,401;1,049;2,949
27.09.2023;2,84;4,785;4,355;4,609;0,734;4,092;4,3767;1,063;2,932
28.09.2023;2,928;4,863;4,482;4,576;0,755;4,069;4,4556;1,166;3,048
29.09.2023;2,838;4,777;4,436;4,572;0,759;4,022;4,4863;1,061;2,926
02.10.2023;2,921;4,802;4,563;4,68;0,771;4,022;4,4863;1,108;3,003
03.10.2023;2,966;4,934;4,596;4,797;0,762;4,243;4,5399;1,119;3,065
04.10.2023;2,917;4,859;4,577;4,734;0,804;4,15;4,6631;1,163;3,066
05.10.2023;2,876;4,886;4,54;4,72;0,805;4,131;4,5689;1,152;3,029
06.10.2023;2,883;4,907;4,572;4,803;0,799;4,151;4,5404;1,157;3,064
09.10.2023;2,77;4,833;4,475;4,803;0,799;4,151;4,5192;1,09;2,971
10.10.2023;2,773;4,721;4,425;4,654;0,777;3,998;4,4564;1,085;2,967
11.10.2023;2,716;4,662;4,325;4,559;0,762;3,918;4,4284;1,055;2,885
12.10.2023;2,784;4,758;4,421;4,699;0,753;4,032;4,3704;1,111;2,894
13.10.2023;2,735;4,771;4,384;4,613;0,755;3,968;4,4636;1,066;2,912
16.10.2023;2,783;4,76;4,479;4,707;0,755;4,031;4,4579;1,096;2,97
17.10.2023;2,88;4,885;4,51;4,836;0,776;4,072;4,5472;1,136;3,041
18.10.2023;2,923;4,979;4,656;4,916;0,804;4,103;4,6496;1,155;3,049
19.10.2023;2,929;4,942;4,671;4,991;0,835;4,194;4,7836;1,16;3,066
20.10.2023;2,888;4,921;4,65;4,916;0,835;4,07;4,7466;1,148;3,041
23.10.2023;2,871;4,836;4,596;4,851;0,865;4,01;4,7825;1,109;3,056
24.10.2023;2,825;4,823;4,537;4,825;0,84;4,009;4,6885;1,073;3,004
25.10.2023;2,888;4,912;4,608;4,957;0,854;4,117;4,7191;1,108;3,06
26.10.2023;2,86;4,867;4,596;4,846;0,87;3,999;4,8735;1,107;3,028
27.10.2023;2,83;4,801;4,542;4,837;0,875;3,976;4,8137;1,097;3,008
30.10.2023;2,82;4,734;4,558;4,895;0,887;4,036;4,8733;1,092;2,987
31.10.2023;2,804;4,723;4,509;4,932;0,941;4,062;4,9249;1,089;2,949
01.11.2023;2,762;4,722;4,496;4,735;0,952;3,919;4,9459;1,088;2,933
02.11.2023;2,715;4,625;4,38;4,66;0,92;3,851;4,7898;1,123;2,876
03.11.2023;2,643;4,507;4,285;4,573;0,92;3,739;4,7221;1,095;2,841
06.11.2023;2,737;4,639;4,375;4,644;0,877;3,807;4,7216;1,171;2,846
07.11.2023;2,657;4,544;4,269;4,568;0,879;3,754;4,6946;1,14;2,8
08.11.2023;2,615;4,476;4,237;4,494;0,853;3,702;4,5816;1,061;2,794
09.11.2023;2,645;4,509;4,27;4,626;0,833;3,848;4,5293;1,069;2,816
10.11.2023;2,716;4,571;4,332;4,653;0,845;3,848;4,6197;1,084;2,856
13.11.2023;2,711;4,556;4,31;4,641;0,865;3,848;4,6688;1,091;2,85
14.11.2023;2,599;4,404;4,149;4,448;0,855;3,686;4,6636;1,002;2,715
15.11.2023;2,642;4,435;4,224;4,532;0,797;3,752;4,5321;1,009;2,722
16.11.2023;2,589;4,347;4,147;4,437;0,785;3,673;4,5517;0,98;2,669
17.11.2023;2,586;4,353;4,101;4,436;0,752;3,676;4,4673;0,963;2,66
20.11.2023;2,61;4,34;4,122;4,421;0,743;3,651;4,5066;0,957;2,652
21.11.2023;2,565;4,313;4,102;4,394;0,696;3,645;4,4474;0,922;2,623
22.11.2023;2,558;4,313;4,152;4,406;0,719;3,654;4,4474;0,933;2,642
23.11.2023;2,617;4,386;4,253;4,406;0,719;3,708;4,4824;0,977;2,702
24.11.2023;2,642;4,392;4,28;4,468;0,771;3,715;4,5459;0,994;2,716
27.11.2023;2,547;4,281;4,209;4,388;0,771;3,649;4,5663;0,926;2,652
28.11.2023;2,495;4,251;4,17;4,322;0,751;3,578;4,4967;0,873;2,64
29.11.2023;2,43;4,17;4,092;4,256;0,665;3,505;4,3618;0,832;2,543
30.11.2023;2,445;4,225;4,172;4,327;0,666;3,551;4,4117;0,828;2,611
01.12.2023;2,36;4,096;4,136;4,197;0,691;3,418;4,4927;0,729;2,534
04.12.2023;2,352;4,121;4,191;4,255;0,69;3,441;4,4468;0,727;2,45
05.12.2023;2,245;3,985;4,022;4,166;0,665;3,339;4,4128;0,688;2,372
06.12.2023;2,198;3,931;3,94;4,105;0,634;3,279;4,2822;0,69;2,358
07.12.2023;2,189;3,933;3,964;4,15;0,75;3,3;4,3381;0,707;2,33
08.12.2023;2,275;4,067;4,038;4,227;0,76;3,371;4,295;0,747;2,373
11.12.2023;2,269;4,061;4,074;4,234;0,757;3,414;4,3378;0,739;2,35
12.12.2023;2,224;4;3,963;4,202;0,716;3,401;4,3258;0,694;2,3
13.12.2023;2,171;3,925;3,827;4,017;0,687;3,243;4,2864;0,661;2,234
14.12.2023;2,112;3,787;3,784;3,922;0,669;3,152;4,1327;0,616;2,176
15.12.2023;2,014;3,72;3,683;3,912;0,691;3,118;4,1387;0,562;2,084
18.12.2023;2,077;3,76;3,691;3,933;0,671;3,165;4,0566;0,605;2,087
19.12.2023;2,015;3,626;3,648;3,932;0,625;3,134;4,1109;0,615;2,012
20.12.2023;1,969;3,587;3,524;3,848;0,548;3,053;4,0479;0,631;1,965
21.12.2023;1,963;3,58;3,525;3,889;0,577;3,119;4,0174;0,663;1,99
22.12.2023;1,977;3,542;3,503;3,896;0,613;3,186;4,0086;0,658;2,005
25.12.2023;1,977;3,542;3,503;3,896;0,614;3,186;4,0086;0,658;2,004
26.12.2023;1,977;3,542;3,503;3,898;0,626;3,186;4,0086;0,658;2,004
27.12.2023;1,893;3,474;3,432;3,795;0,603;3,064;3,9712;0,637;1,959
28.12.2023;1,92;3,525;3,481;3,81;0,589;3,087;3,8922;0,619;1,987
